E M
-2.75 1.22474
-2.71867 0.199478
-2.80898 -0.0657819
-2.94258 0.500297
-2.94005 1.19255
-2.84988 0.569583
-2.78203 0.132382
-2.73036 -0.145994
-2.69019 -0.30232
-2.65834 -0.367429
-2.63263 -0.364699
-2.61155 -0.311473
-2.59407 -0.220661
-2.57942 -0.101997
-2.56706 0.0370663
-2.55656 0.190721
-2.54763 0.354364
-2.54001 0.524287
-2.53353 0.697449
-2.52804 0.871314
-2.52343 1.04373
-2.5196 1.21286
-2.51648 1.07243
-2.51402 0.9146
-2.51218 0.764459
-2.51093 0.623224
-2.51024 0.492038
-2.51011 0.371996
-2.51053 0.264161
-2.51152 0.16958
-2.51308 0.089301
-2.51524 0.0243863
-2.51804 -0.0240787
-2.52153 -0.0549722
-2.52576 -0.0671277
-2.53083 -0.0593257
-2.53682 -0.030289
-2.54388 0.0213179
-2.55217 0.0968822
-2.56189 0.197823
-2.57333 0.325552
-2.58684 0.481389
-2.6029 0.666425
-2.62217 0.881247
-2.64554 1.12546
-2.67427 1.05269
-2.71018 0.760056
-2.75595 0.458733
-2.81547 0.174411
-2.89428 -0.041876
-2.99862 -0.0918275
-2.87182 0.194584
-2.74978 0.999008
-2.71876 0.352858
-2.80929 -0.118255
-2.9429 0.282848
-2.9398 0.977404
-2.84969 0.84226
-2.78189 0.36438
-2.73025 0.0315183
-2.69011 -0.182965
-2.65827 -0.304895
-2.63257 -0.35522
-2.61151 -0.350158
-2.59404 -0.302168
-2.57939 -0.220882
-2.56703 -0.11384
-2.55654 0.0129753
-2.54761 0.154738
-2.54 0.3075
-2.53352 0.467978
-2.52804 0.633398
-2.52342 0.801382
-2.51959 0.969858
-2.51648 1.13699
-2.51402 1.14836
-2.51218 0.988729
-2.51093 0.835009
-2.51024 0.688528
-2.51012 0.550564
-2.51054 0.422361
-2.51153 0.305154
-2.51309 0.200183
-2.51525 0.108711
-2.51806 0.0320389
-2.52155 -0.0284764
-2.52579 -0.0714094
-2.53085 -0.0952485
-2.53685 -0.0983817
-2.54392 -0.0790832
-2.55221 -0.0355033
-2.56194 0.0343346
-2.57338 0.132523
-2.5869 0.261231
-2.60298 0.422617
-2.62226 0.618644
-2.64565 0.850703
-2.6744 1.11888
-2.71035 1.02901
-2.75616 0.702449
