nsteps X Y Vx Vy
100 1 0 0 1.22474
100 0.897237 0.52938 -0.47863 1.12501
100 0.595413 0.984221 -0.905197 0.920909
100 0.157703 1.33899 -1.04287 0.688485
100 -0.306901 1.59787 -1.02956 0.485851
100 -0.755788 1.78014 -0.980935 0.337643
100 -1.1816 1.90707 -0.929589 0.234093
100 -1.58524 1.99491 -0.882689 0.160966
100 -1.96912 2.05476 -0.841274 0.107969
100 -2.33565 2.09405 -0.804925 0.0684912
100 -2.68697 2.11784 -0.77294 0.0383357
100 -3.02487 2.12967 -0.744637 0.0147887
100 -3.35086 2.13208 -0.719433 -0.00395031
100 -3.66622 2.12695 -0.696844 -0.0191085
100 -3.97203 2.11567 -0.676473 -0.0315441
100 -4.26919 2.09931 -0.657998 -0.0418713
100 -4.5585 2.07873 -0.641154 -0.0505391
100 -4.84062 2.05458 -0.625723 -0.057882
100 -5.11615 2.02739 -0.611523 -0.0641537
100 -5.3856 1.99761 -0.598403 -0.069549
100 -5.64942 1.96559 -0.586236 -0.0742203
100 -5.90802 1.93162 -0.574914 -0.0782877
100 -6.16174 1.89595 -0.564345 -0.0818473
100 -6.41091 1.85879 -0.55445 -0.0849765
100 -6.6558 1.82032 -0.545163 -0.0877386
100 -6.89669 1.78069 -0.536423 -0.0901855
100 -7.13379 1.74003 -0.528179 -0.0923601
100 -7.36732 1.69845 -0.520387 -0.0942984
100 -7.59748 1.65606 -0.513007 -0.0960306
100 -7.82443 1.61293 -0.506004 -0.097582
100 -8.04835 1.56915 -0.499347 -0.0989743
100 -8.26936 1.52478 -0.49301 -0.100226
100 -8.48763 1.47988 -0.486966 -0.101353
100 -8.70326 1.43451 -0.481194 -0.10237
100 -8.91637 1.3887 -0.475675 -0.103287
100 -9.12709 1.3425 -0.470391 -0.104116
100 -9.33549 1.29595 -0.465324 -0.104865
100 -9.54169 1.24909 -0.460462 -0.105543
100 -9.74576 1.20193 -0.45579 -0.106156
100 -9.94779 1.15452 -0.451296 -0.106711
100 -10.1479 1.10687 -0.446969 -0.107213
100 -10.346 1.05901 -0.442799 -0.107667
100 -10.5424 1.01096 -0.438778 -0.108077
100 -10.737 0.962728 -0.434895 -0.108447
100 -10.9299 0.914343 -0.431144 -0.108781
100 -11.1211 0.865817 -0.427516 -0.109082
100 -11.3108 0.817164 -0.424006 -0.109352
100 -11.4989 0.768397 -0.420608 -0.109594
100 -11.6855 0.719528 -0.417314 -0.109811
100 -11.8707 0.670567 -0.414121 -0.110004
100 -12.0545 0.621525 -0.411022 -0.110175
100 -12.2369 0.572412 -0.408014 -0.110327
100 -12.418 0.523235 -0.405092 -0.110459
100 -12.5978 0.474003 -0.402252 -0.110575
100 -12.7764 0.424723 -0.399491 -0.110675
100 -12.9538 0.375401 -0.396803 -0.11076
100 -13.1299 0.326045 -0.394188 -0.110832
100 -13.305 0.276659 -0.39164 -0.110891
100 -13.4789 0.22725 -0.389158 -0.110939
100 -13.6517 0.177822 -0.386738 -0.110976
100 -13.8234 0.128379 -0.384378 -0.111003
100 -13.9942 0.0789273 -0.382075 -0.11102
100 -14.1639 0.0294693 -0.379828 -0.111029
100 -14.3326 -0.0199908 -0.377634 -0.11103
100 -14.5003 -0.0694496 -0.37549 -0.111023
100 -14.6671 -0.118904 -0.373396 -0.111009
100 -14.833 -0.16835 -0.371349 -0.110989
100 -14.998 -0.217787 -0.369347 -0.110963
100 -15.1621 -0.26721 -0.367388 -0.110931
100 -15.3253 -0.316618 -0.365472 -0.110893
100 -15.4877 -0.366008 -0.363596 -0.110851
100 -15.6492 -0.415378 -0.36176 -0.110804
100 -15.81 -0.464726 -0.359961 -0.110753
100 -15.9699 -0.514051 -0.358199 -0.110698
100 -16.1291 -0.56335 -0.356473 -0.110639
100 -16.2875 -0.612623 -0.35478 -0.110577
100 -16.4452 -0.661867 -0.35312 -0.110511
100 -16.6021 -0.711081 -0.351493 -0.110443
100 -16.7584 -0.760264 -0.349896 -0.110371
100 -16.9139 -0.809414 -0.348329 -0.110297
100 -17.0687 -0.858531 -0.346791 -0.110221
100 -17.2229 -0.907613 -0.345282 -0.110142
100 -17.3763 -0.95666 -0.343799 -0.110061
100 -17.5292 -1.00567 -0.342343 -0.109978
100 -17.6813 -1.05464 -0.340913 -0.109894
100 -17.8329 -1.10358 -0.339508 -0.109807
100 -17.9838 -1.15247 -0.338127 -0.109719
100 -18.1341 -1.20133 -0.336769 -0.109629
100 -18.2839 -1.25015 -0.335434 -0.109538
100 -18.433 -1.29892 -0.334122 -0.109446
100 -18.5816 -1.34766 -0.332831 -0.109353
100 -18.7295 -1.39635 -0.331561 -0.109258
100 -18.877 -1.445 -0.330311 -0.109163
100 -19.0238 -1.4936 -0.329081 -0.109066
100 -19.1701 -1.54217 -0.327871 -0.108969
100 -19.3159 -1.59069 -0.326679 -0.108871
100 -19.4612 -1.63916 -0.325506 -0.108772
100 -19.6059 -1.6876 -0.324351 -0.108673
100 -19.7502 -1.73599 -0.323213 -0.108573
100 -19.8939 -1.78433 -0.322092 -0.108472
