E M
-2.75 1.22474
-2.87215 -0.180806
-2.96951 -0.685567
-2.8836 -0.266673
-2.75903 0.522039
-2.66816 1.1391
-2.60203 0.426945
-2.55289 -0.214298
-2.51539 -0.801671
-2.48602 -1.34955
-2.46248 -1.86824
-2.44322 -2.36493
-2.42719 -2.84467
-2.41365 -3.31104
-2.40207 -3.76668
-2.39204 -4.21353
-2.38328 -4.65309
-2.37555 -5.0865
-2.3687 -5.51467
-2.36256 -5.93833
-2.35705 -6.35806
-2.35206 -6.77434
-2.34753 -7.18758
-2.34339 -7.5981
-2.33959 -8.00619
-2.3361 -8.4121
-2.33288 -8.81602
-2.32989 -9.21813
-2.32712 -9.6186
-2.32453 -10.0176
-2.32212 -10.4151
-2.31987 -10.8114
-2.31775 -11.2065
-2.31576 -11.6005
-2.31388 -11.9934
-2.31212 -12.3854
-2.31045 -12.7765
-2.30886 -13.1668
-2.30736 -13.5562
-2.30594 -13.9449
-2.30459 -14.3329
-2.3033 -14.7203
-2.30207 -15.107
-2.3009 -15.4931
-2.29978 -15.8786
-2.29871 -16.2636
-2.29769 -16.6481
-2.29671 -17.0321
-2.29577 -17.4157
-2.29487 -17.7987
-2.294 -18.1814
-2.29316 -18.5636
-2.29236 -18.9455
-2.29159 -19.327
-2.29085 -19.7081
-2.29013 -20.0889
-2.28944 -20.4693
-2.28877 -20.8495
-2.28812 -21.2293
-2.2875 -21.6088
-2.28689 -21.988
-2.28631 -22.367
-2.28574 -22.7457
-2.28519 -23.1241
-2.28466 -23.5023
-2.28415 -23.8802
-2.28365 -24.2579
-2.28316 -24.6354
-2.28269 -25.0127
-2.28223 -25.3897
-2.28178 -25.7666
-2.28135 -26.1432
-2.28093 -26.5197
-2.28052 -26.8959
-2.28012 -27.272
-2.27973 -27.6479
-2.27935 -28.0236
-2.27898 -28.3992
-2.27863 -28.7746
-2.27827 -29.1498
-2.27793 -29.5249
-2.2776 -29.8998
-2.27727 -30.2746
-2.27695 -30.6492
-2.27664 -31.0237
-2.27634 -31.3981
-2.27604 -31.7723
-2.27575 -32.1464
-2.27547 -32.5204
-2.27519 -32.8942
-2.27492 -33.268
-2.27466 -33.6416
-2.2744 -34.0151
-2.27414 -34.3884
-2.27389 -34.7617
-2.27365 -35.1349
-2.27341 -35.5079
-2.27318 -35.8809
-2.27295 -36.2537
-2.27272 -36.6265
