E M
-2.75 1.22474
-2.79009 0.19974
-2.88067 -0.220599
-2.99171 0.138406
-2.8646 0.764392
-2.76708 1.08442
-2.69574 0.572772
-2.64245 0.14658
-2.60138 -0.209974
-2.56878 -0.511857
-2.54229 -0.770931
-2.52032 -0.99619
-2.50178 -1.1944
-2.48593 -1.37068
-2.47221 -1.52896
-2.4602 -1.67228
-2.4496 -1.80301
-2.44016 -1.92306
-2.43171 -2.03396
-2.42409 -2.13694
-2.41718 -2.23303
-2.41088 -2.32308
-2.40511 -2.40778
-2.39981 -2.48774
-2.39492 -2.56346
-2.39039 -2.63539
-2.38619 -2.70388
-2.38227 -2.76928
-2.3786 -2.83185
-2.37517 -2.89184
-2.37195 -2.94948
-2.36892 -3.00495
-2.36607 -3.05843
-2.36337 -3.11006
-2.36082 -3.15999
-2.3584 -3.20833
-2.3561 -3.25519
-2.35392 -3.30067
-2.35184 -3.34486
-2.34985 -3.38785
-2.34796 -3.4297
-2.34615 -3.47049
-2.34442 -3.51028
-2.34276 -3.54912
-2.34117 -3.58706
-2.33965 -3.62416
-2.33818 -3.66045
-2.33677 -3.69599
-2.33541 -3.7308
-2.33411 -3.76493
-2.33285 -3.7984
-2.33163 -3.83124
-2.33046 -3.86349
-2.32932 -3.89518
-2.32823 -3.92631
-2.32717 -3.95693
-2.32614 -3.98705
-2.32514 -4.01669
-2.32418 -4.04587
-2.32324 -4.07461
-2.32234 -4.10293
-2.32146 -4.13084
-2.3206 -4.15836
-2.31977 -4.1855
-2.31896 -4.21227
-2.31818 -4.23869
-2.31741 -4.26478
-2.31667 -4.29053
-2.31594 -4.31597
-2.31524 -4.34111
-2.31455 -4.36594
-2.31388 -4.39049
-2.31322 -4.41477
-2.31259 -4.43877
-2.31196 -4.46251
-2.31135 -4.486
-2.31076 -4.50925
-2.31018 -4.53225
-2.30961 -4.55503
-2.30906 -4.57758
-2.30851 -4.59991
-2.30798 -4.62203
-2.30746 -4.64394
-2.30695 -4.66565
-2.30646 -4.68716
-2.30597 -4.70848
-2.30549 -4.72962
-2.30502 -4.75057
-2.30457 -4.77135
-2.30412 -4.79196
-2.30368 -4.81239
-2.30324 -4.83267
-2.30282 -4.85278
-2.3024 -4.87274
-2.302 -4.89254
-2.3016 -4.91219
-2.3012 -4.9317
-2.30082 -4.95107
-2.30044 -4.97029
-2.30007 -4.98938
