nsteps X Y Vx Vy
10000 1 0 0 1.30384
10000 0.999908 0.0124972 -0.00958491 1.30384
10000 0.999724 0.0249932 -0.0191693 1.30372
10000 0.999449 0.037487 -0.0287505 1.30348
10000 0.999081 0.0499773 -0.0383258 1.30312
10000 0.998622 0.062463 -0.0478924 1.30264
10000 0.998072 0.074943 -0.0574477 1.30205
10000 0.99743 0.0874161 -0.0669888 1.30133
10000 0.996696 0.0998812 -0.0765133 1.30049
10000 0.995872 0.112337 -0.0860183 1.29954
10000 0.994956 0.124783 -0.0955012 1.29847
10000 0.99395 0.137217 -0.10496 1.29729
10000 0.992854 0.149639 -0.114391 1.29598
10000 0.991668 0.162048 -0.123792 1.29457
10000 0.990391 0.174441 -0.133161 1.29304
10000 0.989025 0.186819 -0.142495 1.29139
10000 0.98757 0.19918 -0.151792 1.28964
10000 0.986027 0.211523 -0.161049 1.28777
10000 0.984395 0.223847 -0.170264 1.28579
10000 0.982675 0.236152 -0.179435 1.28371
10000 0.980868 0.248435 -0.188559 1.28151
10000 0.978973 0.260696 -0.197634 1.27922
10000 0.976993 0.272934 -0.206658 1.27681
10000 0.974926 0.285148 -0.21563 1.27431
10000 0.972774 0.297337 -0.224546 1.2717
10000 0.970536 0.309501 -0.233405 1.26899
10000 0.968215 0.321637 -0.242204 1.26618
10000 0.96581 0.333745 -0.250943 1.26328
10000 0.963321 0.345825 -0.259619 1.26028
10000 0.96075 0.357875 -0.268231 1.25719
10000 0.958097 0.369895 -0.276776 1.25401
10000 0.955363 0.381883 -0.285253 1.25074
10000 0.952548 0.393839 -0.293661 1.24738
10000 0.949654 0.405762 -0.301998 1.24393
10000 0.94668 0.417651 -0.310263 1.2404
10000 0.943628 0.429505 -0.318454 1.23678
10000 0.940498 0.441324 -0.326569 1.23309
10000 0.93729 0.453107 -0.334609 1.22932
10000 0.934007 0.464853 -0.342571 1.22547
10000 0.930648 0.476561 -0.350454 1.22154
10000 0.927214 0.488232 -0.358258 1.21755
10000 0.923706 0.499863 -0.365982 1.21348
10000 0.920125 0.511454 -0.373624 1.20935
10000 0.916471 0.523005 -0.381183 1.20514
10000 0.912746 0.534516 -0.38866 1.20088
10000 0.90895 0.545984 -0.396053 1.19655
10000 0.905084 0.557411 -0.403361 1.19216
10000 0.901148 0.568795 -0.410584 1.18771
10000 0.897144 0.580136 -0.417721 1.1832
10000 0.893073 0.591433 -0.424773 1.17864
10000 0.888935 0.602686 -0.431738 1.17403
10000 0.884731 0.613895 -0.438616 1.16937
10000 0.880462 0.625058 -0.445407 1.16466
10000 0.876128 0.636175 -0.45211 1.1599
10000 0.871731 0.647247 -0.458726 1.15509
10000 0.867272 0.658272 -0.465254 1.15025
10000 0.862751 0.66925 -0.471694 1.14536
10000 0.858169 0.680181 -0.478047 1.14043
10000 0.853527 0.691064 -0.484311 1.13547
10000 0.848825 0.7019 -0.490488 1.13047
10000 0.844066 0.712687 -0.496576 1.12543
10000 0.839249 0.723425 -0.502577 1.12036
10000 0.834375 0.734115 -0.508491 1.11527
10000 0.829445 0.744756 -0.514317 1.11014
10000 0.82446 0.755347 -0.520057 1.10499
10000 0.819421 0.765888 -0.525709 1.09981
10000 0.814329 0.77638 -0.531275 1.09461
10000 0.809184 0.786822 -0.536755 1.08938
10000 0.803988 0.797213 -0.54215 1.08414
10000 0.798741 0.807554 -0.547459 1.07887
10000 0.793443 0.817844 -0.552684 1.07359
10000 0.788097 0.828084 -0.557824 1.06829
10000 0.782701 0.838272 -0.56288 1.06298
10000 0.777259 0.84841 -0.567853 1.05765
10000 0.771769 0.858496 -0.572744 1.05231
10000 0.766233 0.868531 -0.577552 1.04696
10000 0.760652 0.878515 -0.582279 1.04161
10000 0.755026 0.888447 -0.586925 1.03624
10000 0.749357 0.898328 -0.591491 1.03087
10000 0.743645 0.908157 -0.595978 1.02549
10000 0.73789 0.917935 -0.600385 1.02011
10000 0.732094 0.927661 -0.604715 1.01472
10000 0.726257 0.937335 -0.608967 1.00933
10000 0.72038 0.946958 -0.613142 1.00394
10000 0.714464 0.956529 -0.617241 0.998555
10000 0.708509 0.966048 -0.621265 0.993168
10000 0.702516 0.975516 -0.625215 0.987783
10000 0.696487 0.984932 -0.629091 0.982401
10000 0.69042 0.994297 -0.632893 0.977023
10000 0.684318 1.00361 -0.636624 0.97165
10000 0.678181 1.01287 -0.640284 0.966283
10000 0.67201 1.02208 -0.643873 0.960923
10000 0.665805 1.03124 -0.647392 0.95557
10000 0.659566 1.04035 -0.650843 0.950226
10000 0.653296 1.04941 -0.654225 0.944891
10000 0.646993 1.05841 -0.65754 0.939566
10000 0.64066 1.06737 -0.660789 0.934251
10000 0.634296 1.07627 -0.663972 0.928948
10000 0.627902 1.08512 -0.66709 0.923657
10000 0.621478 1.09393 -0.670144 0.918379
10000 0.615026 1.10268 -0.673135 0.913114
10000 0.608546 1.11138 -0.676064 0.907863
10000 0.602039 1.12003 -0.678931 0.902627
10000 0.595505 1.12863 -0.681738 0.897405
10000 0.588944 1.13718 -0.684485 0.892199
10000 0.582357 1.14569 -0.687172 0.88701
10000 0.575746 1.15414 -0.689802 0.881837
10000 0.569109 1.16254 -0.692374 0.876681
10000 0.562449 1.1709 -0.694889 0.871543
10000 0.555765 1.1792 -0.697349 0.866422
10000 0.549058 1.18746 -0.699753 0.86132
10000 0.542328 1.19566 -0.702104 0.856237
10000 0.535577 1.20382 -0.704401 0.851173
10000 0.528803 1.21193 -0.706645 0.846129
10000 0.522009 1.21999 -0.708837 0.841104
10000 0.515195 1.22801 -0.710979 0.8361
10000 0.50836 1.23597 -0.71307 0.831116
10000 0.501506 1.24389 -0.715111 0.826153
10000 0.494632 1.25176 -0.717103 0.821211
10000 0.48774 1.25959 -0.719048 0.81629
10000 0.48083 1.26736 -0.720945 0.811391
10000 0.473902 1.27509 -0.722795 0.806514
10000 0.466957 1.28278 -0.7246 0.801658
10000 0.459995 1.29042 -0.726359 0.796825
10000 0.453016 1.29801 -0.728074 0.792015
10000 0.446022 1.30555 -0.729745 0.787227
10000 0.439012 1.31305 -0.731373 0.782461
10000 0.431986 1.32051 -0.732959 0.777719
10000 0.424946 1.32792 -0.734502 0.773
10000 0.417892 1.33528 -0.736005 0.768304
10000 0.410823 1.3426 -0.737468 0.763631
10000 0.403741 1.34987 -0.73889 0.758982
10000 0.396645 1.3571 -0.740274 0.754356
10000 0.389537 1.36429 -0.741619 0.749754
10000 0.382416 1.37143 -0.742926 0.745175
10000 0.375283 1.37853 -0.744196 0.74062
10000 0.368138 1.38559 -0.74543 0.73609
10000 0.360982 1.3926 -0.746627 0.731583
10000 0.353814 1.39957 -0.747789 0.7271
10000 0.346636 1.40649 -0.748916 0.72264
10000 0.339447 1.41338 -0.750009 0.718205
10000 0.332248 1.42022 -0.751069 0.713794
10000 0.32504 1.42702 -0.752095 0.709407
10000 0.317821 1.43378 -0.753089 0.705045
10000 0.310594 1.44049 -0.754051 0.700706
10000 0.303357 1.44717 -0.754981 0.696391
10000 0.296112 1.4538 -0.75588 0.6921
10000 0.288859 1.4604 -0.75675 0.687833
10000 0.281598 1.46695 -0.757589 0.683591
10000 0.274328 1.47346 -0.758399 0.679372
10000 0.267052 1.47993 -0.75918 0.675177
10000 0.259768 1.48636 -0.759932 0.671006
10000 0.252477 1.49275 -0.760657 0.666859
10000 0.24518 1.49911 -0.761354 0.662736
10000 0.237876 1.50542 -0.762025 0.658636
10000 0.230565 1.51169 -0.762669 0.654561
10000 0.223249 1.51793 -0.763287 0.650509
