E M
-2.50158 0.965206
-2.50154 0.94948
-2.50152 0.933793
-2.5015 0.918145
-2.50148 0.902537
-2.50147 0.886972
-2.50146 0.871449
-2.50145 0.855972
-2.50145 0.840541
-2.50146 0.825157
-2.50147 0.809822
-2.50148 0.794537
-2.5015 0.779304
-2.50152 0.764123
-2.50155 0.748997
-2.50158 0.733927
-2.50162 0.718914
-2.50166 0.703959
-2.5017 0.689065
-2.50175 0.674231
-2.50181 0.65946
-2.50186 0.644753
-2.50193 0.630111
-2.50199 0.615536
-2.50207 0.601029
-2.50214 0.586592
-2.50222 0.572225
-2.50231 0.55793
-2.5024 0.54371
-2.5025 0.529564
-2.5026 0.515494
-2.5027 0.501503
-2.50281 0.48759
-2.50292 0.473758
-2.50304 0.460008
-2.50316 0.446342
-2.50329 0.43276
-2.50342 0.419265
-2.50356 0.405857
-2.5037 0.392538
-2.50385 0.379309
-2.504 0.366173
-2.50416 0.35313
-2.50432 0.340181
-2.50448 0.327329
-2.50465 0.314574
-2.50483 0.301919
-2.50501 0.289363
-2.50519 0.27691
-2.50538 0.264561
-2.50558 0.252316
-2.50578 0.240178
-2.50598 0.228147
-2.50619 0.216226
-2.50641 0.204416
-2.50663 0.192718
-2.50686 0.181134
-2.50709 0.169665
-2.50732 0.158313
-2.50756 0.14708
-2.50781 0.135966
-2.50806 0.124974
-2.50832 0.114105
-2.50858 0.103361
-2.50885 0.0927426
-2.50912 0.082252
-2.5094 0.0718907
-2.50968 0.0616603
-2.50997 0.0515623
-2.51027 0.0415984
-2.51057 0.0317702
-2.51088 0.0220793
-2.51119 0.0125273
-2.51151 0.0031159
-2.51183 -0.0061533
-2.51216 -0.0152786
-2.5125 -0.0242584
-2.51284 -0.033091
-2.51319 -0.0417746
-2.51354 -0.0503077
-2.5139 -0.0586884
-2.51427 -0.0669151
-2.51464 -0.0749861
-2.51502 -0.0828995
-2.5154 -0.0906537
-2.5158 -0.0982468
-2.51619 -0.105677
-2.5166 -0.112943
-2.51701 -0.120042
-2.51743 -0.126973
-2.51785 -0.133735
-2.51828 -0.140324
-2.51872 -0.146739
