E M
-2.75 1.22474
-2.75049 1.11348
-2.75197 1.00303
-2.7544 0.894388
-2.75776 0.78851
-2.76199 0.686298
-2.76706 0.588579
-2.77292 0.496096
-2.77951 0.409493
-2.78677 0.329313
-2.79465 0.255991
-2.80309 0.189856
-2.81202 0.13113
-2.8214 0.079937
-2.83116 0.0363088
-2.84126 0.000191154
-2.85163 -0.028545
-2.86223 -0.050094
-2.87301 -0.0647055
-2.88393 -0.0726742
-2.89494 -0.0743303
-2.90601 -0.0700305
-2.91709 -0.0601496
-2.92816 -0.0450734
-2.93919 -0.025192
-2.95015 -0.000894311
-2.96101 0.0274366
-2.97176 0.0594271
-2.98238 0.0947163
-2.99285 0.132958
-2.99685 0.173823
-2.98672 0.216998
-2.97677 0.262191
-2.96701 0.309126
-2.95744 0.357547
-2.94807 0.407214
-2.93891 0.457908
-2.92995 0.509425
-2.92119 0.561578
-2.91263 0.614196
-2.90428 0.66712
-2.89613 0.72021
-2.88817 0.773334
-2.88042 0.826375
-2.87285 0.879225
-2.86547 0.93179
-2.85828 0.983982
-2.85127 1.03572
-2.84443 1.08695
-2.83777 1.13759
-2.83127 1.18759
-2.82494 1.21258
-2.81877 1.16399
-2.81276 1.11617
-2.8069 1.06914
-2.80118 1.02294
-2.79561 0.977589
-2.79017 0.933111
-2.78487 0.889521
-2.7797 0.846834
-2.77466 0.805061
-2.76974 0.764212
-2.76494 0.724293
-2.76025 0.685308
-2.75568 0.647261
-2.75122 0.610153
-2.74686 0.573984
-2.74261 0.538752
-2.73845 0.504455
-2.7344 0.471088
-2.73043 0.438647
-2.72656 0.407126
-2.72278 0.376518
-2.71908 0.346817
-2.71546 0.318015
-2.71193 0.290103
-2.70847 0.263073
-2.70509 0.236916
-2.70179 0.211621
-2.69855 0.187181
-2.69539 0.163584
-2.6923 0.140819
-2.68927 0.118878
-2.6863 0.0977488
-2.6834 0.0774209
-2.68056 0.0578836
-2.67778 0.039126
-2.67505 0.0211372
-2.67238 0.00390625
-2.66977 -0.0125778
-2.66721 -0.0283258
-2.6647 -0.0433489
-2.66224 -0.0576578
-2.65983 -0.0712634
-2.65747 -0.0841766
-2.65516 -0.0964079
-2.65289 -0.107968
-2.65066 -0.118868
-2.64848 -0.129117
-2.64634 -0.138727
-2.64424 -0.147708
-2.64219 -0.156069
-2.64017 -0.163822
-2.63819 -0.170975
-2.63625 -0.177539
-2.63434 -0.183523
-2.63247 -0.188937
-2.63063 -0.193792
-2.62883 -0.198095
-2.62706 -0.201856
-2.62533 -0.205085
-2.62362 -0.207791
-2.62195 -0.209982
-2.62031 -0.211667
-2.6187 -0.212855
-2.61711 -0.213555
-2.61556 -0.213775
-2.61403 -0.213523
-2.61253 -0.212808
-2.61106 -0.211637
-2.60962 -0.210019
-2.6082 -0.207961
-2.6068 -0.205472
-2.60543 -0.202559
-2.60408 -0.199229
-2.60276 -0.19549
-2.60146 -0.19135
-2.60019 -0.186815
-2.59893 -0.181893
-2.5977 -0.17659
-2.59649 -0.170914
-2.5953 -0.164872
-2.59413 -0.158469
-2.59299 -0.151714
-2.59186 -0.144611
-2.59075 -0.137169
-2.58966 -0.129393
-2.58859 -0.121289
-2.58754 -0.112864
-2.58651 -0.104124
-2.5855 -0.0950747
-2.5845 -0.085722
-2.58352 -0.0760719
-2.58256 -0.0661302
-2.58162 -0.0559025
-2.58069 -0.0453945
-2.57978 -0.0346117
-2.57888 -0.0235597
-2.578 -0.0122438
-2.57714 -0.000669325
-2.57629 0.0111584
-2.57545 0.0232342
-2.57464 0.035553
-2.57383 0.0481097
-2.57304 0.0608992
-2.57227 0.0739167
-2.57151 0.0871573
-2.57076 0.100616
-2.57003 0.114288
-2.56931 0.12817
-2.5686 0.142255
-2.56791 0.15654
-2.56723 0.171019
-2.56656 0.18569
-2.5659 0.200546
-2.56526 0.215584
-2.56463 0.2308
-2.56401 0.246189
-2.56341 0.261746
-2.56281 0.277468
-2.56223 0.293351
-2.56166 0.30939
-2.5611 0.325581
-2.56055 0.341921
-2.56002 0.358405
-2.55949 0.37503
-2.55898 0.391791
-2.55848 0.408685
-2.55798 0.425708
-2.5575 0.442855
-2.55703 0.460125
-2.55657 0.477511
-2.55612 0.495012
-2.55568 0.512623
-2.55525 0.53034
-2.55483 0.548161
-2.55442 0.566081
-2.55402 0.584098
-2.55362 0.602206
-2.55324 0.620404
-2.55287 0.638688
-2.55251 0.657053
-2.55216 0.675498
-2.55182 0.694018
-2.55148 0.71261
-2.55116 0.731271
-2.55084 0.749997
-2.55054 0.768786
-2.55024 0.787634
-2.54995 0.806538
-2.54967 0.825494
-2.5494 0.8445
-2.54914 0.863552
-2.54889 0.882648
-2.54864 0.901783
-2.54841 0.920955
-2.54818 0.940161
-2.54797 0.959398
-2.54776 0.978663
-2.54756 0.997952
-2.54736 1.01726
-2.54718 1.03659
-2.547 1.05594
-2.54684 1.0753
-2.54668 1.09466
-2.54653 1.11404
-2.54638 1.13342
-2.54625 1.1528
-2.54613 1.17217
-2.54601 1.19155
-2.5459 1.21091
-2.5458 1.21922
-2.5457 1.19988
-2.54562 1.18056
-2.54554 1.16126
-2.54547 1.14197
-2.54541 1.12272
-2.54536 1.10349
-2.54531 1.08429
-2.54528 1.06512
-2.54525 1.046
-2.54523 1.02691
-2.54522 1.00786
-2.54521 0.988859
-2.54521 0.969905
-2.54523 0.951001
-2.54525 0.932151
-2.54527 0.913358
-2.54531 0.894623
-2.54535 0.87595
-2.5454 0.857342
-2.54546 0.838801
-2.54553 0.820331
-2.54561 0.801934
-2.54569 0.783613
-2.54578 0.76537
-2.54588 0.74721
-2.54599 0.729133
-2.54611 0.711144
-2.54623 0.693246
-2.54637 0.67544
-2.54651 0.65773
-2.54666 0.640118
-2.54682 0.622609
-2.54698 0.605203
-2.54716 0.587905
-2.54734 0.570718
-2.54753 0.553643
-2.54773 0.536684
-2.54794 0.519844
-2.54816 0.503126
-2.54838 0.486533
-2.54862 0.470068
-2.54886 0.453733
-2.54911 0.437532
-2.54937 0.421467
-2.54964 0.405542
-2.54992 0.389759
-2.55021 0.374122
-2.5505 0.358634
-2.55081 0.343297
-2.55112 0.328115
-2.55145 0.313091
-2.55178 0.298228
-2.55212 0.283528
-2.55247 0.268996
-2.55283 0.254634
-2.55321 0.240446
-2.55359 0.226434
-2.55398 0.212601
-2.55438 0.198952
-2.55479 0.185489
-2.55521 0.172215
-2.55564 0.159135
-2.55608 0.14625
-2.55653 0.133564
-2.55699 0.121082
-2.55746 0.108805
-2.55794 0.0967376
-2.55843 0.0848832
-2.55894 0.0732452
-2.55945 0.0618269
-2.55998 0.0506318
-2.56051 0.0396635
-2.56106 0.0289255
-2.56162 0.0184214
-2.56219 0.00815481
-2.56277 -0.00187071
-2.56337 -0.0116515
-2.56397 -0.0211838
-2.56459 -0.030464
-2.56522 -0.0394882
-2.56586 -0.0482528
-2.56652 -0.0567539
-2.56719 -0.0649877
-2.56787 -0.0729502
-2.56856 -0.0806376
-2.56927 -0.088046
-2.56999 -0.0951713
-2.57072 -0.10201
-2.57147 -0.108557
-2.57223 -0.114809
-2.57301 -0.120761
-2.5738 -0.126411
-2.5746 -0.131752
-2.57542 -0.136782
-2.57625 -0.141495
-2.5771 -0.145888
-2.57797 -0.149956
-2.57885 -0.153695
-2.57974 -0.1571
-2.58065 -0.160167
-2.58158 -0.162891
-2.58253 -0.165268
-2.58349 -0.167293
-2.58447 -0.168962
-2.58546 -0.170269
-2.58648 -0.171211
-2.58751 -0.171781
-2.58856 -0.171977
-2.58963 -0.171792
-2.59072 -0.171221
-2.59183 -0.170261
-2.59295 -0.168905
-2.5941 -0.167149
-2.59527 -0.164987
-2.59645 -0.162415
-2.59766 -0.159428
-2.59889 -0.156019
-2.60015 -0.152185
-2.60142 -0.147919
-2.60272 -0.143216
-2.60404 -0.138071
-2.60538 -0.132479
-2.60675 -0.126434
-2.60814 -0.11993
-2.60956 -0.112963
-2.611 -0.105525
-2.61247 -0.0976132
-2.61396 -0.0892202
-2.61548 -0.0803408
-2.61703 -0.0709694
-2.61861 -0.0611003
-2.62022 -0.0507277
-2.62185 -0.0398459
-2.62352 -0.0284492
-2.62521 -0.0165318
-2.62694 -0.00408796
-2.6287 0.00888807
-2.63049 0.0224021
-2.63231 0.0364597
-2.63417 0.0510669
-2.63606 0.0662292
-2.63799 0.0819523
-2.63996 0.0982419
-2.64196 0.115104
-2.644 0.132543
-2.64608 0.150565
-2.6482 0.169176
-2.65036 0.188381
-2.65256 0.208185
-2.6548 0.228593
-2.65709 0.249611
-2.65942 0.271242
-2.6618 0.293493
-2.66423 0.316367
-2.6667 0.339868
-2.66922 0.364002
-2.6718 0.388771
-2.67442 0.414179
-2.6771 0.44023
-2.67984 0.466927
-2.68263 0.494273
-2.68547 0.522269
-2.68838 0.550918
-2.69135 0.580221
-2.69437 0.61018
-2.69747 0.640793
-2.70062 0.672063
-2.70385 0.703986
-2.70714 0.736563
-2.71051 0.769791
-2.71394 0.803667
-2.71745 0.838186
-2.72104 0.873345
-2.72471 0.909136
-2.72846 0.945554
-2.73229 0.982589
-2.73621 1.02023
-2.74021 1.05847
-2.74431 1.0973
-2.74849 1.13669
-2.75278 1.17664
-2.75716 1.21713
