E M
-2.75 1.22474
-2.75155 1.11206
-2.75417 1.00036
-2.75782 0.890665
-2.76247 0.783945
-2.76808 0.681104
-2.77458 0.582957
-2.78191 0.490218
-2.79 0.403492
-2.79879 0.32327
-2.80819 0.249927
-2.81812 0.183728
-2.82852 0.12483
-2.83932 0.0732924
-2.85043 0.0290855
-2.86179 -0.00789857
-2.87335 -0.0378344
-2.88504 -0.0609522
-2.89682 -0.0775274
-2.90863 -0.0878697
-2.92043 -0.0923146
-2.93219 -0.0912144
-2.94386 -0.0849315
-2.95544 -0.0738318
-2.96688 -0.0582796
-2.97817 -0.0386336
-2.98929 -0.0152428
-2.99978 0.0115554
-2.98904 0.0414376
-2.9785 0.0740957
-2.96818 0.109238
-2.95808 0.146589
-2.94819 0.18589
-2.93853 0.226901
-2.92909 0.269396
-2.91988 0.313166
-2.91089 0.358018
-2.90211 0.403773
-2.89356 0.450266
-2.88521 0.497347
-2.87708 0.544877
-2.86916 0.592728
-2.86143 0.640784
-2.85391 0.688941
-2.84657 0.737101
-2.83943 0.785178
-2.83247 0.833092
-2.82569 0.880771
-2.81908 0.928152
-2.81264 0.975176
-2.80636 1.02179
-2.80025 1.06795
-2.79428 1.11361
-2.78847 1.15874
-2.78281 1.2033
-2.77729 1.20223
-2.7719 1.15889
-2.76665 1.1162
-2.76152 1.07416
-2.75652 1.03281
-2.75165 0.992157
-2.74689 0.952208
-2.74224 0.912975
-2.73771 0.874468
-2.73328 0.836691
-2.72896 0.799651
-2.72473 0.763351
-2.72061 0.727792
-2.71658 0.692976
-2.71264 0.658903
-2.70879 0.625573
-2.70503 0.592982
-2.70135 0.56113
-2.69776 0.530012
-2.69424 0.499626
-2.6908 0.469965
-2.68743 0.441027
-2.68414 0.412805
-2.68092 0.385294
-2.67777 0.358488
-2.67468 0.332381
-2.67166 0.306965
-2.6687 0.282235
-2.6658 0.258183
-2.66296 0.234802
-2.66018 0.212084
-2.65745 0.190024
-2.65479 0.168611
-2.65217 0.14784
-2.6496 0.127703
-2.64709 0.108191
-2.64463 0.0892967
-2.64221 0.0710128
-2.63984 0.0533313
-2.63752 0.0362442
-2.63524 0.0197439
-2.633 0.00382245
-2.63081 -0.0115278
-2.62865 -0.0263145
-2.62654 -0.0405455
-2.62447 -0.0542283
-2.62243 -0.0673705
-2.62043 -0.0799796
-2.61847 -0.0920632
-2.61655 -0.103628
-2.61466 -0.114683
-2.6128 -0.125234
-2.61097 -0.135288
-2.60918 -0.144853
-2.60742 -0.153936
-2.60569 -0.162543
-2.60399 -0.170682
-2.60233 -0.17836
-2.60068 -0.185582
-2.59907 -0.192356
