E M
-2.75 1.22474
-2.74951 1.11347
-2.75001 1.00296
-2.7515 0.89424
-2.75396 0.788278
-2.75738 0.686004
-2.7617 0.588278
-2.7669 0.495874
-2.77291 0.409467
-2.77968 0.329629
-2.78714 0.256818
-2.79524 0.19138
-2.80391 0.13355
-2.81307 0.0834565
-2.82267 0.0411304
-2.83263 0.00651218
-2.8429 -0.0205371
-2.85342 -0.0402248
-2.86413 -0.0528155
-2.87497 -0.0586206
-2.88592 -0.0579873
-2.89691 -0.0512895
-2.90791 -0.0389191
-2.91889 -0.021278
-2.92981 0.00122827
-2.94065 0.0281962
-2.95139 0.0592291
-2.962 0.0939407
-2.97247 0.131958
-2.98278 0.172924
-2.99292 0.216498
-2.99711 0.26236
-2.98733 0.310205
-2.97774 0.35975
-2.96835 0.410731
-2.95916 0.462901
-2.95017 0.516032
-2.94138 0.569915
-2.93279 0.624355
-2.9244 0.679176
-2.91621 0.734214
-2.90822 0.789322
-2.90042 0.844365
-2.89282 0.89922
-2.8854 0.953777
-2.87816 1.00794
-2.87111 1.06161
-2.86423 1.11471
-2.85752 1.16717
-2.85098 1.21893
-2.84461 1.17956
-2.83839 1.12938
-2.83234 1.08005
-2.82643 1.03161
-2.82067 0.984105
-2.81506 0.937554
-2.80958 0.891985
-2.80424 0.847418
-2.79903 0.80387
-2.79395 0.761355
-2.789 0.719883
-2.78416 0.679465
-2.77945 0.640105
-2.77484 0.601807
-2.77035 0.564573
-2.76597 0.528404
-2.76169 0.493297
-2.75751 0.459251
-2.75343 0.42626
-2.74944 0.394319
-2.74555 0.363422
-2.74175 0.333562
-2.73804 0.304731
-2.73441 0.276919
-2.73087 0.250118
-2.7274 0.224317
-2.72402 0.199505
-2.72071 0.175672
-2.71747 0.152807
-2.71431 0.130897
-2.71122 0.109931
-2.70819 0.0898961
-2.70524 0.0707807
-2.70234 0.052572
-2.69951 0.0352573
-2.69674 0.0188239
-2.69403 0.00325913
-2.69138 -0.01145
-2.68879 -0.0253162
-2.68625 -0.0383525
-2.68376 -0.0505716
-2.68133 -0.0619864
-2.67894 -0.0726096
-2.67661 -0.082454
-2.67433 -0.0915321
-2.67209 -0.0998566
-2.6699 -0.10744
-2.66776 -0.114294
-2.66566 -0.120432
-2.6636 -0.125866
-2.66158 -0.130607
-2.65961 -0.134668
-2.65767 -0.13806
-2.65578 -0.140796
-2.65392 -0.142886
-2.6521 -0.144343
-2.65032 -0.145176
-2.64857 -0.145399
-2.64686 -0.145021
-2.64518 -0.144054
-2.64354 -0.142508
-2.64193 -0.140395
-2.64035 -0.137724
-2.63881 -0.134506
-2.63729 -0.130751
-2.63581 -0.126469
-2.63435 -0.121671
-2.63292 -0.116366
-2.63153 -0.110564
-2.63016 -0.104274
-2.62881 -0.0975062
-2.6275 -0.0902699
-2.62621 -0.0825742
-2.62495 -0.0744282
-2.62371 -0.065841
-2.6225 -0.0568213
-2.62131 -0.047378
-2.62015 -0.0375197
-2.61901 -0.0272549
-2.61789 -0.0165921
-2.6168 -0.00553965
-2.61573 0.0058943
-2.61468 0.0177016
-2.61365 0.0298743
-2.61264 0.0424044
-2.61166 0.0552841
