E M
-2.7542 0.903726
-2.75423 0.902655
-2.75425 0.901584
-2.75428 0.900514
-2.75431 0.899444
-2.75434 0.898374
-2.75437 0.897305
-2.7544 0.896235
-2.75443 0.895167
-2.75446 0.894098
-2.75449 0.89303
-2.75452 0.891962
-2.75455 0.890894
-2.75458 0.889827
-2.75461 0.88876
-2.75464 0.887693
-2.75467 0.886626
-2.7547 0.88556
-2.75473 0.884494
-2.75476 0.883429
-2.75479 0.882364
-2.75482 0.881299
-2.75485 0.880234
-2.75488 0.87917
-2.75491 0.878106
-2.75494 0.877042
-2.75497 0.875978
-2.755 0.874915
-2.75503 0.873853
-2.75506 0.87279
-2.7551 0.871728
-2.75513 0.870666
-2.75516 0.869605
-2.75519 0.868543
-2.75522 0.867482
-2.75525 0.866422
-2.75529 0.865362
-2.75532 0.864302
-2.75535 0.863242
-2.75538 0.862183
-2.75541 0.861124
-2.75545 0.860065
-2.75548 0.859007
-2.75551 0.857949
-2.75554 0.856891
-2.75558 0.855834
-2.75561 0.854777
-2.75564 0.85372
-2.75567 0.852664
-2.75571 0.851608
-2.75574 0.850552
-2.75577 0.849497
-2.75581 0.848442
-2.75584 0.847387
-2.75587 0.846333
-2.75591 0.845279
-2.75594 0.844225
-2.75598 0.843172
-2.75601 0.842119
-2.75604 0.841066
-2.75608 0.840014
-2.75611 0.838962
-2.75615 0.83791
-2.75618 0.836859
-2.75622 0.835808
-2.75625 0.834757
-2.75628 0.833707
-2.75632 0.832657
-2.75635 0.831608
-2.75639 0.830558
-2.75642 0.82951
-2.75646 0.828461
-2.75649 0.827413
-2.75653 0.826365
-2.75657 0.825318
-2.7566 0.824271
-2.75664 0.823224
-2.75667 0.822177
-2.75671 0.821131
-2.75674 0.820086
-2.75678 0.81904
-2.75682 0.817996
-2.75685 0.816951
-2.75689 0.815907
-2.75692 0.814863
-2.75696 0.813819
-2.757 0.812776
-2.75703 0.811733
-2.75707 0.810691
-2.75711 0.809649
-2.75714 0.808607
-2.75718 0.807566
-2.75722 0.806525
-2.75725 0.805485
-2.75729 0.804444
-2.75733 0.803405
-2.75737 0.802365
-2.7574 0.801326
-2.75744 0.800287
-2.75748 0.799249
-2.75752 0.798211
-2.75756 0.797173
-2.75759 0.796136
-2.75763 0.795099
-2.75767 0.794063
-2.75771 0.793027
-2.75775 0.791991
-2.75778 0.790956
-2.75782 0.789921
-2.75786 0.788887
-2.7579 0.787852
-2.75794 0.786819
-2.75798 0.785785
-2.75802 0.784752
-2.75806 0.78372
-2.7581 0.782687
-2.75813 0.781656
-2.75817 0.780624
-2.75821 0.779593
-2.75825 0.778563
-2.75829 0.777532
-2.75833 0.776502
-2.75837 0.775473
-2.75841 0.774444
-2.75845 0.773415
-2.75849 0.772387
-2.75853 0.771359
-2.75857 0.770332
-2.75861 0.769305
-2.75865 0.768278
-2.75869 0.767252
-2.75873 0.766226
-2.75877 0.7652
-2.75882 0.764175
-2.75886 0.76315
-2.7589 0.762126
-2.75894 0.761102
-2.75898 0.760079
-2.75902 0.759056
-2.75906 0.758033
-2.7591 0.757011
-2.75914 0.755989
-2.75919 0.754968
-2.75923 0.753947
-2.75927 0.752926
-2.75931 0.751906
-2.75935 0.750886
-2.7594 0.749867
-2.75944 0.748848
-2.75948 0.74783
-2.75952 0.746812
-2.75956 0.745794
-2.75961 0.744777
-2.75965 0.74376
-2.75969 0.742744
-2.75973 0.741728
-2.75978 0.740712
-2.75982 0.739697
-2.75986 0.738682
-2.75991 0.737668
-2.75995 0.736654
-2.75999 0.735641
-2.76004 0.734628
-2.76008 0.733615
-2.76012 0.732603
-2.76017 0.731591
-2.76021 0.73058
-2.76025 0.729569
-2.7603 0.728559
-2.76034 0.727549
-2.76039 0.726539
-2.76043 0.72553
-2.76047 0.724521
-2.76052 0.723513
-2.76056 0.722505
-2.76061 0.721498
-2.76065 0.720491
-2.7607 0.719485
-2.76074 0.718478
-2.76079 0.717473
-2.76083 0.716468
-2.76088 0.715463
-2.76092 0.714459
-2.76097 0.713455
-2.76101 0.712452
-2.76106 0.711449
-2.7611 0.710446
-2.76115 0.709444
-2.76119 0.708442
-2.76124 0.707441
-2.76129 0.706441
-2.76133 0.70544
-2.76138 0.704441
-2.76142 0.703441
-2.76147 0.702442
-2.76152 0.701444
-2.76156 0.700446
-2.76161 0.699448
-2.76166 0.698451
-2.7617 0.697455
-2.76175 0.696459
-2.7618 0.695463
