E M
-2.75 1.22474
-2.75001 1.21361
-2.75004 1.20247
-2.75007 1.19134
-2.75012 1.18021
-2.75017 1.16908
-2.75024 1.15795
-2.75031 1.14684
-2.7504 1.13573
-2.75049 1.12462
-2.75059 1.11353
-2.75071 1.10244
-2.75083 1.09137
-2.75097 1.08031
-2.75111 1.06926
-2.75126 1.05822
-2.75143 1.0472
-2.7516 1.0362
-2.75178 1.02521
-2.75197 1.01424
-2.75218 1.00329
-2.75239 0.992355
-2.75261 0.981443
-2.75284 0.970553
-2.75308 0.959686
-2.75333 0.948842
-2.75359 0.938023
-2.75386 0.927229
-2.75414 0.916461
-2.75443 0.905721
-2.75472 0.895009
-2.75503 0.884326
-2.75535 0.873674
-2.75567 0.863052
-2.75601 0.852462
-2.75636 0.841905
-2.75671 0.831382
-2.75707 0.820893
-2.75744 0.81044
-2.75783 0.800023
-2.75822 0.789644
-2.75862 0.779302
-2.75903 0.768999
-2.75944 0.758736
-2.75987 0.748514
-2.76031 0.738333
-2.76075 0.728194
-2.7612 0.718099
-2.76167 0.708047
-2.76214 0.698039
-2.76262 0.688077
-2.76311 0.678162
-2.7636 0.668293
-2.76411 0.658472
-2.76462 0.648699
-2.76514 0.638976
-2.76567 0.629302
-2.76621 0.619679
-2.76676 0.610107
-2.76732 0.600588
-2.76788 0.591121
-2.76845 0.581707
-2.76903 0.572347
-2.76962 0.563042
-2.77021 0.553793
-2.77082 0.544599
-2.77143 0.535462
-2.77205 0.526382
-2.77268 0.51736
-2.77331 0.508396
-2.77395 0.499492
-2.7746 0.490646
-2.77526 0.481861
-2.77593 0.473137
-2.7766 0.464474
-2.77728 0.455873
-2.77796 0.447333
-2.77866 0.438857
-2.77936 0.430444
-2.78007 0.422094
-2.78078 0.413809
-2.7815 0.405589
-2.78223 0.397433
-2.78297 0.389344
-2.78371 0.38132
-2.78446 0.373362
-2.78522 0.365472
-2.78598 0.357649
-2.78675 0.349893
-2.78752 0.342205
-2.7883 0.334586
-2.78909 0.327035
-2.78989 0.319553
-2.79069 0.312141
-2.79149 0.304799
-2.79231 0.297526
-2.79312 0.290324
-2.79395 0.283193
-2.79478 0.276132
-2.79561 0.269142
-2.79646 0.262224
-2.7973 0.255378
-2.79816 0.248603
-2.79901 0.241901
-2.79988 0.235271
-2.80075 0.228713
-2.80162 0.222229
-2.8025 0.215817
-2.80338 0.209478
-2.80427 0.203213
-2.80517 0.19702
-2.80607 0.190902
-2.80697 0.184857
-2.80788 0.178886
-2.8088 0.172989
-2.80971 0.167166
-2.81064 0.161418
-2.81157 0.155743
-2.8125 0.150143
-2.81344 0.144617
-2.81438 0.139166
-2.81532 0.133789
-2.81627 0.128486
-2.81723 0.123259
-2.81818 0.118105
-2.81915 0.113027
-2.82011 0.108023
-2.82108 0.103093
-2.82206 0.0982387
-2.82303 0.0934586
-2.82402 0.088753
-2.825 0.0841219
-2.82599 0.0795654
-2.82698 0.0750832
-2.82798 0.0706754
-2.82898 0.066342
-2.82998 0.0620828
-2.83098 0.0578977
-2.83199 0.0537866
-2.833 0.0497496
-2.83402 0.0457864
-2.83504 0.0418969
-2.83606 0.0380811
-2.83708 0.0343388
-2.83811 0.0306698
-2.83914 0.0270741
-2.84017 0.0235515
-2.84121 0.0201018
-2.84224 0.0167249
-2.84329 0.0134206
-2.84433 0.0101887
-2.84537 0.00702916
-2.84642 0.00394165
-2.84747 0.000926029
-2.84852 -0.00201789
-2.84958 -0.00489031
-2.85063 -0.00769144
-2.85169 -0.0104215
-2.85275 -0.0130807
-2.85382 -0.0156692
-2.85488 -0.0181873
-2.85595 -0.0206353
-2.85702 -0.0230133
-2.85809 -0.0253216
-2.85916 -0.0275604
-2.86023 -0.0297301
-2.86131 -0.0318308
