E M
-2.75 1.22474
-2.75 1.21361
-2.75002 1.20247
-2.75004 1.19134
-2.75008 1.18021
-2.75012 1.16908
-2.75018 1.15796
-2.75024 1.14684
-2.75032 1.13573
-2.7504 1.12463
-2.7505 1.11354
-2.7506 1.10246
-2.75071 1.09138
-2.75084 1.08032
-2.75097 1.06928
-2.75111 1.05824
-2.75127 1.04723
-2.75143 1.03622
-2.7516 1.02524
-2.75178 1.01427
-2.75198 1.00332
-2.75218 0.992394
-2.75239 0.981486
-2.75261 0.9706
-2.75284 0.959737
-2.75308 0.948897
-2.75333 0.938082
-2.75359 0.927293
-2.75386 0.91653
-2.75414 0.905795
-2.75442 0.895088
-2.75472 0.884411
-2.75503 0.873764
-2.75534 0.863148
-2.75567 0.852564
-2.756 0.842013
-2.75635 0.831496
-2.7567 0.821013
-2.75706 0.810567
-2.75743 0.800156
-2.75782 0.789784
-2.7582 0.779449
-2.7586 0.769154
-2.75901 0.758898
-2.75943 0.748683
-2.75985 0.73851
-2.76029 0.728379
-2.76073 0.718291
-2.76118 0.708247
-2.76164 0.698248
-2.76211 0.688295
-2.76259 0.678388
-2.76308 0.668528
-2.76357 0.658716
-2.76407 0.648952
-2.76459 0.639238
-2.76511 0.629573
-2.76563 0.61996
-2.76617 0.610398
-2.76672 0.600888
-2.76727 0.591431
-2.76783 0.582028
-2.7684 0.572678
-2.76898 0.563384
-2.76956 0.554145
-2.77015 0.544962
-2.77076 0.535836
-2.77136 0.526767
-2.77198 0.517757
-2.77261 0.508804
-2.77324 0.499911
-2.77388 0.491078
-2.77452 0.482305
-2.77518 0.473593
-2.77584 0.464942
-2.77651 0.456353
-2.77718 0.447826
-2.77787 0.439363
-2.77856 0.430962
-2.77925 0.422626
-2.77996 0.414354
-2.78067 0.406147
-2.78139 0.398005
-2.78211 0.389929
-2.78285 0.381919
-2.78358 0.373975
-2.78433 0.366099
-2.78508 0.35829
-2.78584 0.350549
-2.7866 0.342876
-2.78737 0.335271
-2.78815 0.327735
-2.78893 0.320269
-2.78972 0.312872
-2.79052 0.305545
-2.79132 0.298288
-2.79213 0.291102
-2.79294 0.283986
-2.79376 0.276941
-2.79459 0.269968
-2.79542 0.263066
-2.79626 0.256237
-2.7971 0.249479
-2.79795 0.242793
-2.7988 0.23618
-2.79966 0.22964
-2.80052 0.223173
-2.80139 0.216778
-2.80226 0.210457
-2.80314 0.20421
-2.80403 0.198036
-2.80492 0.191936
-2.80581 0.185909
-2.80671 0.179957
-2.80761 0.174079
-2.80852 0.168275
-2.80944 0.162545
-2.81035 0.15689
-2.81128 0.151309
-2.8122 0.145803
-2.81313 0.140371
-2.81407 0.135014
-2.81501 0.129732
-2.81595 0.124525
-2.8169 0.119392
-2.81786 0.114334
-2.81881 0.109351
-2.81977 0.104443
-2.82074 0.0996095
-2.8217 0.0948507
-2.82268 0.0901668
-2.82365 0.0855575
-2.82463 0.0810229
-2.82561 0.0765629
-2.8266 0.0721775
-2.82759 0.0678666
-2.82858 0.06363
-2.82958 0.0594678
-2.83058 0.0553799
-2.83158 0.0513661
-2.83259 0.0474263
-2.8336 0.0435605
-2.83461 0.0397685
-2.83562 0.0360502
-2.83664 0.0324054
-2.83766 0.0288341
-2.83868 0.025336
-2.83971 0.0219111
-2.84074 0.0185591
-2.84177 0.0152799
-2.84281 0.0120734
-2.84384 0.00893931
-2.84488 0.00587748
-2.84592 0.00288773
-2.84697 -3.01291e-05
-2.84801 -0.00287631
-2.84906 -0.005651
-2.85011 -0.00835443
-2.85116 -0.0109868
-2.85222 -0.0135484
-2.85328 -0.0160393
-2.85433 -0.0184599
-2.8554 -0.0208104
-2.85646 -0.0230909
-2.85752 -0.0253018
-2.85859 -0.0274434
-2.85966 -0.0295158
-2.86073 -0.0315193
-2.8618 -0.0334542
-2.86287 -0.0353208
-2.86394 -0.0371194
-2.86502 -0.0388501
-2.86609 -0.0405134
-2.86717 -0.0421094
-2.86825 -0.0436385
-2.86933 -0.045101
-2.87042 -0.0464971
-2.8715 -0.0478272
-2.87258 -0.0490916
-2.87367 -0.0502905
-2.87475 -0.0514243
-2.87584 -0.0524934
-2.87693 -0.0534979
-2.87802 -0.0544383
-2.87911 -0.0553148
-2.8802 -0.0561278
-2.88129 -0.0568777
-2.88238 -0.0575647
-2.88348 -0.0581891
-2.88457 -0.0587514
-2.88566 -0.0592518
-2.88676 -0.0596908
-2.88785 -0.0600685
-2.88895 -0.0603855
-2.89005 -0.0606419
-2.89114 -0.0608383
-2.89224 -0.0609748
-2.89334 -0.061052
-2.89443 -0.06107
-2.89553 -0.0610294
-2.89663 -0.0609304
-2.89773 -0.0607734
-2.89882 -0.0605588
-2.89992 -0.0602869
-2.90102 -0.0599582
-2.90212 -0.0595728
-2.90322 -0.0591313
-2.90432 -0.058634
-2.90541 -0.0580812
-2.90651 -0.0574734
-2.90761 -0.0568109
-2.90871 -0.056094
-2.90981 -0.0553231
-2.9109 -0.0544987
-2.912 -0.0536211
-2.9131 -0.0526906
-2.91419 -0.0517077
-2.91529 -0.0506726
-2.91638 -0.0495858
-2.91748 -0.0484477
-2.91857 -0.0472587
-2.91967 -0.046019
-2.92076 -0.0447291
-2.92185 -0.0433894
-2.92295 -0.0420002
-2.92404 -0.0405619
-2.92513 -0.0390749
-2.92622 -0.0375396
-2.92731 -0.0359563
-2.9284 -0.0343254
-2.92949 -0.0326473
-2.93058 -0.0309224
-2.93166 -0.029151
-2.93275 -0.0273336
-2.93383 -0.0254704
-2.93492 -0.023562
-2.936 -0.0216085
-2.93708 -0.0196105
-2.93816 -0.0175683
-2.93925 -0.0154822
-2.94032 -0.0133526
-2.9414 -0.01118
-2.94248 -0.00896462
-2.94356 -0.0067069
-2.94463 -0.00440719
-2.94571 -0.00206586
-2.94678 0.000316718
-2.94785 0.00274018
-2.94892 0.00520417
-2.94999 0.0077083
-2.95106 0.0102522
-2.95213 0.0128356
-2.9532 0.015458
-2.95426 0.0181191
-2.95532 0.0208186
-2.95639 0.0235561
-2.95745 0.0263311
-2.95851 0.0291435
-2.95957 0.0319928
-2.96062 0.0348786
-2.96168 0.0378007
-2.96273 0.0407586
-2.96379 0.043752
-2.96484 0.0467805
-2.96589 0.0498439
-2.96694 0.0529417
-2.96798 0.0560737
-2.96903 0.0592394
-2.97007 0.0624386
-2.97112 0.0656708
-2.97216 0.0689358
-2.9732 0.0722332
-2.97423 0.0755627
-2.97527 0.0789239
-2.97631 0.0823165
-2.97734 0.0857402
-2.97837 0.0891947
-2.9794 0.0926795
-2.98043 0.0961944
-2.98146 0.0997391
-2.98248 0.103313
-2.9835 0.106916
-2.98453 0.110548
-2.98555 0.114209
-2.98657 0.117897
-2.98758 0.121614
-2.9886 0.125358
-2.98961 0.129129
-2.99062 0.132927
-2.99163 0.136752
-2.99264 0.140602
-2.99365 0.144479
-2.99465 0.148382
-2.99565 0.15231
-2.99666 0.156262
-2.99765 0.16024
-2.99865 0.164242
-2.99965 0.168268
-2.99936 0.172318
-2.99837 0.176392
-2.99738 0.180489
-2.99639 0.184609
-2.9954 0.188751
-2.99442 0.192916
-2.99343 0.197103
-2.99245 0.201312
-2.99147 0.205542
-2.9905 0.209794
-2.98952 0.214067
-2.98855 0.21836
-2.98758 0.222674
-2.98661 0.227008
-2.98564 0.231362
-2.98467 0.235735
-2.98371 0.240128
-2.98275 0.24454
-2.98179 0.248971
-2.98083 0.25342
-2.97987 0.257887
-2.97892 0.262373
-2.97797 0.266876
-2.97702 0.271397
-2.97607 0.275935
-2.97512 0.280491
-2.97418 0.285062
-2.97323 0.289651
-2.97229 0.294255
-2.97135 0.298876
-2.97042 0.303513
-2.96948 0.308165
-2.96855 0.312832
-2.96762 0.317514
-2.96669 0.322211
-2.96576 0.326923
-2.96484 0.331649
-2.96392 0.336389
-2.963 0.341143
-2.96208 0.345911
-2.96116 0.350692
-2.96025 0.355486
-2.95933 0.360293
-2.95842 0.365113
-2.95751 0.369945
-2.95661 0.37479
-2.9557 0.379647
-2.9548 0.384516
-2.9539 0.389396
-2.953 0.394288
-2.9521 0.399191
-2.95121 0.404105
-2.95031 0.409029
-2.94942 0.413965
-2.94853 0.418911
-2.94765 0.423867
-2.94676 0.428832
-2.94588 0.433808
-2.945 0.438794
-2.94412 0.443788
-2.94324 0.448792
-2.94237 0.453805
-2.9415 0.458827
-2.94063 0.463857
-2.93976 0.468896
-2.93889 0.473943
-2.93803 0.478998
-2.93716 0.484061
-2.9363 0.489131
-2.93544 0.49421
-2.93459 0.499295
-2.93373 0.504387
-2.93288 0.509487
-2.93203 0.514593
-2.93118 0.519706
-2.93033 0.524825
-2.92949 0.529951
-2.92865 0.535083
-2.92781 0.54022
-2.92697 0.545364
-2.92613 0.550513
-2.9253 0.555667
