E M
-2.9751 0.0641864
-2.97614 0.0674304
-2.97718 0.0707063
-2.97822 0.0740137
-2.97926 0.0773523
-2.98029 0.0807218
-2.98133 0.0841218
-2.98236 0.087552
-2.98339 0.0910121
-2.98442 0.0945018
-2.98544 0.0980207
-2.98647 0.101569
-2.98749 0.105145
-2.98851 0.10875
-2.98953 0.112382
-2.99055 0.116043
-2.99157 0.11973
-2.99258 0.123445
-2.99359 0.127187
-2.99461 0.130954
-2.99561 0.134748
-2.99662 0.138568
-2.99763 0.142414
-2.99863 0.146284
-2.99963 0.15018
-2.99937 0.1541
-2.99837 0.158044
-2.99737 0.162012
-2.99638 0.166005
-2.99539 0.17002
-2.99439 0.174059
-2.99341 0.17812
-2.99242 0.182205
-2.99143 0.186311
-2.99045 0.19044
-2.98947 0.19459
-2.98849 0.198762
-2.98751 0.202954
-2.98654 0.207168
-2.98556 0.211403
-2.98459 0.215657
-2.98362 0.219932
-2.98265 0.224227
-2.98169 0.228541
-2.98072 0.232874
-2.97976 0.237227
-2.9788 0.241598
-2.97784 0.245988
-2.97689 0.250396
-2.97593 0.254822
-2.97498 0.259266
-2.97403 0.263727
-2.97308 0.268206
-2.97214 0.272701
-2.97119 0.277213
-2.97025 0.281742
-2.96931 0.286287
-2.96837 0.290848
-2.96744 0.295424
-2.9665 0.300017
-2.96557 0.304624
-2.96464 0.309246
-2.96371 0.313884
-2.96279 0.318536
-2.96186 0.323202
-2.96094 0.327882
-2.96002 0.332576
-2.9591 0.337284
-2.95819 0.342006
-2.95727 0.34674
-2.95636 0.351488
-2.95545 0.356248
-2.95454 0.361021
-2.95364 0.365806
-2.95273 0.370603
-2.95183 0.375412
-2.95093 0.380233
-2.95003 0.385066
-2.94914 0.389909
-2.94824 0.394764
-2.94735 0.399629
-2.94646 0.404506
-2.94558 0.409392
-2.94469 0.414289
-2.94381 0.419196
-2.94292 0.424113
-2.94205 0.429039
-2.94117 0.433975
-2.94029 0.438921
-2.93942 0.443875
-2.93855 0.448838
-2.93768 0.45381
-2.93681 0.45879
-2.93595 0.463779
-2.93508 0.468776
-2.93422 0.473781
-2.93336 0.478793
-2.9325 0.483814
-2.93165 0.488841
-2.9308 0.493876
-2.92995 0.498918
-2.9291 0.503967
-2.92825 0.509022
-2.9274 0.514084
-2.92656 0.519153
-2.92572 0.524228
-2.92488 0.529308
-2.92404 0.534395
-2.92321 0.539487
-2.92238 0.544585
-2.92154 0.549688
-2.92072 0.554797
-2.91989 0.55991
-2.91906 0.565029
-2.91824 0.570152
-2.91742 0.57528
-2.9166 0.580412
-2.91578 0.585548
-2.91497 0.590689
-2.91415 0.595834
-2.91334 0.600982
-2.91253 0.606135
-2.91173 0.61129
-2.91092 0.616449
-2.91012 0.621612
-2.90932 0.626777
-2.90852 0.631946
-2.90772 0.637117
-2.90692 0.642291
-2.90613 0.647468
-2.90534 0.652647
-2.90455 0.657828
-2.90376 0.663012
-2.90298 0.668197
-2.90219 0.673385
-2.90141 0.678574
-2.90063 0.683765
-2.89985 0.688957
-2.89908 0.694151
-2.8983 0.699346
-2.89753 0.704542
-2.89676 0.709739
-2.89599 0.714937
-2.89523 0.720136
-2.89446 0.725335
-2.8937 0.730535
-2.89294 0.735735
-2.89218 0.740936
-2.89142 0.746136
-2.89067 0.751337
-2.88991 0.756538
-2.88916 0.761739
-2.88841 0.766939
-2.88766 0.772139
-2.88692 0.777338
-2.88618 0.782537
-2.88543 0.787735
-2.88469 0.792933
-2.88396 0.798129
-2.88322 0.803324
-2.88248 0.808519
-2.88175 0.813712
-2.88102 0.818903
-2.88029 0.824093
-2.87956 0.829282
-2.87884 0.834469
-2.87812 0.839654
-2.87739 0.844838
-2.87667 0.85002
-2.87596 0.855199
-2.87524 0.860376
-2.87453 0.865552
-2.87381 0.870725
-2.8731 0.875895
-2.87239 0.881063
-2.87169 0.886229
-2.87098 0.891392
-2.87028 0.896552
-2.86957 0.901709
-2.86887 0.906863
-2.86818 0.912015
-2.86748 0.917163
-2.86678 0.922308
-2.86609 0.92745
-2.8654 0.932588
-2.86471 0.937723
-2.86402 0.942855
-2.86334 0.947983
-2.86265 0.953107
-2.86197 0.958228
-2.86129 0.963345
-2.86061 0.968457
-2.85993 0.973566
-2.85926 0.978671
-2.85858 0.983772
-2.85791 0.988869
-2.85724 0.993961
-2.85657 0.999049
-2.8559 1.00413
-2.85524 1.00921
-2.85457 1.01429
-2.85391 1.01936
-2.85325 1.02442
-2.85259 1.02948
-2.85194 1.03454
-2.85128 1.03959
-2.85063 1.04464
-2.84998 1.04968
-2.84933 1.05471
-2.84868 1.05974
-2.84803 1.06477
-2.84738 1.06979
-2.84674 1.07481
-2.8461 1.07981
-2.84546 1.08482
-2.84482 1.08982
-2.84418 1.09481
-2.84355 1.0998
-2.84291 1.10478
-2.84228 1.10976
-2.84165 1.11473
-2.84102 1.11969
-2.84039 1.12465
-2.83977 1.1296
-2.83914 1.13455
-2.83852 1.13949
-2.8379 1.14443
-2.83728 1.14936
-2.83666 1.15428
-2.83604 1.15919
-2.83543 1.1641
-2.83481 1.16901
-2.8342 1.1739
-2.83359 1.1788
-2.83298 1.18368
-2.83238 1.18856
-2.83177 1.19343
-2.83117 1.19829
-2.83056 1.20315
-2.82996 1.208
-2.82936 1.21285
-2.82876 1.21768
-2.82817 1.22251
-2.82757 1.22215
-2.82698 1.21734
-2.82639 1.21253
-2.8258 1.20772
-2.82521 1.20293
-2.82462 1.19814
-2.82403 1.19336
-2.82345 1.18858
-2.82287 1.18382
-2.82228 1.17906
-2.8217 1.1743
-2.82113 1.16956
-2.82055 1.16482
-2.81997 1.16009
-2.8194 1.15537
-2.81882 1.15065
-2.81825 1.14594
-2.81768 1.14124
-2.81711 1.13655
-2.81655 1.13187
-2.81598 1.12719
-2.81542 1.12252
-2.81485 1.11786
-2.81429 1.1132
-2.81373 1.10856
-2.81317 1.10392
-2.81262 1.09929
-2.81206 1.09466
-2.81151 1.09005
-2.81095 1.08544
-2.8104 1.08084
-2.80985 1.07625
-2.8093 1.07167
-2.80876 1.06709
-2.80821 1.06253
-2.80766 1.05797
-2.80712 1.05342
-2.80658 1.04887
-2.80604 1.04434
-2.8055 1.03981
-2.80496 1.03529
-2.80442 1.03078
-2.80389 1.02628
-2.80336 1.02179
-2.80282 1.0173
-2.80229 1.01283
-2.80176 1.00836
-2.80123 1.0039
-2.80071 0.999449
-2.80018 0.995006
-2.79966 0.990572
-2.79913 0.986146
-2.79861 0.981729
-2.79809 0.97732
-2.79757 0.97292
-2.79705 0.968528
-2.79653 0.964145
-2.79602 0.959771
-2.7955 0.955405
-2.79499 0.951048
-2.79448 0.946699
-2.79397 0.942359
-2.79346 0.938028
-2.79295 0.933706
-2.79245 0.929392
-2.79194 0.925087
-2.79144 0.920791
-2.79093 0.916504
-2.79043 0.912225
-2.78993 0.907956
-2.78943 0.903695
-2.78893 0.899443
-2.78844 0.8952
-2.78794 0.890966
-2.78745 0.886741
-2.78695 0.882524
-2.78646 0.878317
-2.78597 0.874119
-2.78548 0.869929
-2.78499 0.865749
-2.78451 0.861577
-2.78402 0.857415
-2.78354 0.853261
-2.78305 0.849117
-2.78257 0.844981
-2.78209 0.840855
-2.78161 0.836738
-2.78113 0.832629
-2.78065 0.82853
-2.78018 0.82444
-2.7797 0.820359
-2.77923 0.816288
-2.77875 0.812225
-2.77828 0.808171
-2.77781 0.804127
-2.77734 0.800092
-2.77687 0.796066
-2.77641 0.792049
-2.77594 0.788041
-2.77548 0.784043
-2.77501 0.780054
-2.77455 0.776074
-2.77409 0.772103
-2.77363 0.768141
-2.77317 0.764189
-2.77271 0.760246
-2.77225 0.756312
-2.7718 0.752387
-2.77134 0.748472
-2.77089 0.744566
-2.77044 0.740669
-2.76998 0.736782
-2.76953 0.732904
-2.76908 0.729035
-2.76864 0.725175
-2.76819 0.721325
-2.76774 0.717484
-2.7673 0.713653
-2.76685 0.70983
-2.76641 0.706017
-2.76597 0.702214
-2.76553 0.69842
-2.76509 0.694635
-2.76465 0.690859
-2.76421 0.687093
-2.76378 0.683336
-2.76334 0.679589
-2.76291 0.675851
-2.76247 0.672122
-2.76204 0.668403
-2.76161 0.664693
-2.76118 0.660992
-2.76075 0.657301
-2.76032 0.653619
-2.75989 0.649947
-2.75947 0.646284
-2.75904 0.64263
-2.75862 0.638986
-2.7582 0.635351
-2.75777 0.631726
-2.75735 0.62811
-2.75693 0.624503
-2.75651 0.620906
-2.7561 0.617318
-2.75568 0.61374
-2.75526 0.610171
-2.75485 0.606611
-2.75443 0.603061
-2.75402 0.59952
-2.75361 0.595989
-2.7532 0.592467
-2.75279 0.588954
-2.75238 0.585451
-2.75197 0.581958
-2.75156 0.578473
-2.75116 0.574998
-2.75075 0.571533
-2.75035 0.568077
-2.74994 0.56463
-2.74954 0.561193
-2.74914 0.557765
-2.74874 0.554347
-2.74834 0.550938
-2.74794 0.547538
-2.74754 0.544148
-2.74715 0.540767
-2.74675 0.537396
-2.74636 0.534034
-2.74596 0.530681
-2.74557 0.527338
-2.74518 0.524004
-2.74478 0.52068
-2.74439 0.517364
-2.74401 0.514059
-2.74362 0.510763
-2.74323 0.507476
-2.74284 0.504198
-2.74246 0.50093
-2.74207 0.497671
-2.74169 0.494422
-2.7413 0.491182
-2.74092 0.487951
-2.74054 0.48473
-2.74016 0.481518
-2.73978 0.478315
-2.7394 0.475122
-2.73903 0.471938
-2.73865 0.468763
-2.73827 0.465598
-2.7379 0.462442
-2.73752 0.459296
-2.73715 0.456158
-2.73678 0.45303
-2.73641 0.449912
-2.73603 0.446803
-2.73566 0.443703
-2.7353 0.440612
-2.73493 0.437531
-2.73456 0.434458
-2.73419 0.431396
-2.73383 0.428342
-2.73346 0.425298
-2.7331 0.422263
-2.73274 0.419237
-2.73237 0.416221
-2.73201 0.413214
-2.73165 0.410216
-2.73129 0.407227
-2.73093 0.404248
-2.73058 0.401278
-2.73022 0.398317
-2.72986 0.395365
-2.72951 0.392422
-2.72915 0.389489
-2.7288 0.386565
-2.72844 0.38365
-2.72809 0.380745
-2.72774 0.377848
-2.72739 0.374961
-2.72704 0.372083
-2.72669 0.369214
-2.72634 0.366354
-2.72599 0.363503
-2.72565 0.360662
-2.7253 0.35783
-2.72496 0.355007
-2.72461 0.352193
-2.72427 0.349388
-2.72392 0.346592
-2.72358 0.343805
-2.72324 0.341028
-2.7229 0.338259
-2.72256 0.3355
-2.72222 0.33275
-2.72188 0.330009
-2.72155 0.327276
-2.72121 0.324553
-2.72087 0.321839
-2.72054 0.319135
-2.7202 0.316439
-2.71987 0.313752
-2.71954 0.311074
-2.7192 0.308405
-2.71887 0.305746
-2.71854 0.303095
-2.71821 0.300453
-2.71788 0.29782
-2.71755 0.295196
-2.71723 0.292582
-2.7169 0.289976
-2.71657 0.287379
-2.71625 0.284791
-2.71592 0.282212
-2.7156 0.279642
-2.71528 0.277081
-2.71495 0.274529
-2.71463 0.271986
-2.71431 0.269451
-2.71399 0.266926
-2.71367 0.264409
-2.71335 0.261901
-2.71303 0.259403
-2.71272 0.256913
-2.7124 0.254432
-2.71208 0.251959
-2.71177 0.249496
-2.71145 0.247041
-2.71114 0.244596
-2.71083 0.242159
-2.71051 0.239731
-2.7102 0.237311
-2.70989 0.234901
-2.70958 0.232499
-2.70927 0.230106
-2.70896 0.227722
-2.70865 0.225346
-2.70834 0.22298
-2.70804 0.220622
-2.70773 0.218272
-2.70742 0.215932
-2.70712 0.2136
-2.70681 0.211277
-2.70651 0.208962
-2.70621 0.206657
-2.70591 0.204359
-2.7056 0.202071
-2.7053 0.199791
-2.705 0.19752
-2.7047 0.195258
-2.7044 0.193004
-2.7041 0.190759
-2.70381 0.188522
-2.70351 0.186294
-2.70321 0.184074
-2.70292 0.181864
-2.70262 0.179661
-2.70233 0.177468
-2.70203 0.175282
-2.70174 0.173106
-2.70145 0.170938
-2.70116 0.168778
-2.70087 0.166627
-2.70057 0.164485
-2.70028 0.162351
-2.69999 0.160225
-2.69971 0.158108
-2.69942 0.155999
-2.69913 0.153899
-2.69884 0.151807
-2.69856 0.149724
-2.69827 0.147649
-2.69799 0.145583
-2.6977 0.143525
-2.69742 0.141475
-2.69714 0.139434
-2.69685 0.137401
-2.69657 0.135377
-2.69629 0.133361
-2.69601 0.131353
-2.69573 0.129354
-2.69545 0.127363
-2.69517 0.12538
-2.69489 0.123405
-2.69461 0.121439
-2.69434 0.119482
-2.69406 0.117532
-2.69379 0.115591
-2.69351 0.113658
-2.69324 0.111733
-2.69296 0.109816
-2.69269 0.107908
-2.69241 0.106008
-2.69214 0.104116
-2.69187 0.102233
-2.6916 0.100357
-2.69133 0.0984899
-2.69106 0.0966308
-2.69079 0.0947799
-2.69052 0.0929371
-2.69025 0.0911025
-2.68998 0.089276
-2.68972 0.0874576
-2.68945 0.0856474
-2.68919 0.0838452
-2.68892 0.0820511
-2.68865 0.0802652
-2.68839 0.0784873
-2.68813 0.0767174
-2.68786 0.0749556
-2.6876 0.0732019
-2.68734 0.0714561
-2.68708 0.0697184
-2.68682 0.0679887
-2.68656 0.066267
-2.6863 0.0645533
-2.68604 0.0628476
-2.68578 0.0611499
-2.68552 0.0594601
-2.68526 0.0577782
-2.68501 0.0561043
-2.68475 0.0544384
-2.68449 0.0527803
-2.68424 0.0511302
-2.68398 0.0494879
-2.68373 0.0478535
-2.68348 0.0462271
-2.68322 0.0446084
-2.68297 0.0429977
-2.68272 0.0413948
-2.68247 0.0397997
-2.68222 0.0382124
-2.68196 0.036633
-2.68171 0.0350614
-2.68147 0.0334975
-2.68122 0.0319415
-2.68097 0.0303932
-2.68072 0.0288527
-2.68047 0.0273199
-2.68023 0.0257949
-2.67998 0.0242776
-2.67973 0.022768
-2.67949 0.0212662
-2.67924 0.019772
-2.679 0.0182856
-2.67876 0.0168068
-2.67851 0.0153357
-2.67827 0.0138722
-2.67803 0.0124164
-2.67779 0.0109683
-2.67754 0.00952773
-2.6773 0.00809481
-2.67706 0.0066695
-2.67682 0.00525178
-2.67658 0.00384165
-2.67635 0.0024391
-2.67611 0.00104412
-2.67587 -0.000343314
-2.67563 -0.0017232
-2.6754 -0.00309555
-2.67516 -0.00446038
-2.67492 -0.00581769
-2.67469 -0.0071675
-2.67445 -0.00850982
-2.67422 -0.00984465
-2.67399 -0.011172
-2.67375 -0.0124919
-2.67352 -0.0138044
-2.67329 -0.0151094
-2.67306 -0.016407
-2.67283 -0.0176971
-2.67259 -0.0189799
-2.67236 -0.0202552
-2.67213 -0.0215232
-2.6719 -0.0227838
-2.67168 -0.024037
-2.67145 -0.0252828
-2.67122 -0.0265214
-2.67099 -0.0277525
-2.67076 -0.0289764
-2.67054 -0.0301929
-2.67031 -0.0314022
-2.67009 -0.0326041
-2.66986 -0.0337987
-2.66964 -0.0349861
-2.66941 -0.0361662
-2.66919 -0.0373391
-2.66897 -0.0385047
-2.66874 -0.0396631
